Class 1
bioentry_date
bioentry_description
bioentry_direct_links
bioentry_keywords
seqfeature_key
seqfeature_qualifier
bioentry_taxa
taxa
seqfeature_source
remote_seqfeature_name
Class 2
biodatabase
bioentry
biosequence
bioentry_reference
comment
location_qualifier_value
reference
seqfeature
seqfeature_qualifier_value
bioentry_qualifier_value
dbxref
dbxref_qualifier_value
seqfeature_relationship
taxon
bioentry_relationship
ontology
taxon_name
seqfeature_path
bioentry_dbxref
bioentry_path
seqfeature_location
cache_corba_support
ontology_term
Class 3
seqfeature_dbxref
location
term
term_dbxref
term_path
term_relationship
term_relationship_term
term_synonym
Class 4
ontology_dbxref
ontology_path
ontology_relationship
bioentry_dblink
