	searchindex	old	/*$wgDBPrefix*/protected_titles	tag_summary	pagelinks	imagelinks	querycache_info	recentchanges	validate	revision	globalnamespaces	page	user_groups	recentlinkchanges	config	valid_tag	querycachetwo	groups	categorylinks	hitcounter	user_properties	text	msg_resource	trackbacks	random	image	job	logging	log_search	change_tag	category	ipblocks	imageredirects	user_former_groups	protected_titles	blobs	interwiki	externallinks	user_rights	updatelog	msg_resource_links	page_restrictions	globalinterwiki	user_restrictions	oldimage	page_props	site_stats	redirect	querycache	langlinks	watchlist	globaltemplatelinks	l10n_cache	links	user_newtalk	transcache	math	concurrencycheck	objectcache	brokenlinks	external_user	module_deps	uploadstash	templatelinks	cur	iwlinks	filearchive	archive	group	user	linkscc	
querycachetwo	6	0	0	0	6	6	2	6	0	6	0	6	2	0	0	4	-	0	6	0	0	2	0	6	0	6	6	6	4	4	4	8	0	0	4	0	8	2	0	4	0	2	0	0	6	0	2	7	8	6	6	0	4	0	3	1	2	0	4	0	4	0	0	6	0	4	6	6	0	6	0
groups	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
categorylinks	6	0	0	0	6	6	2	6	0	6	0	6	3	0	0	4	6	1	-	0	0	2	2	6	0	6	6	6	4	4	4	6	0	0	4	0	6	2	1	4	2	2	0	0	6	0	3	6	6	6	6	0	4	0	4	1	2	0	3	0	4	2	0	6	0	4	6	6	0	6	0
hitcounter	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
user_properties	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
text	2	2	0	0	2	2	2	2	1	4	0	4	2	0	0	0	2	0	2	0	0	-	0	2	0	2	2	3	0	0	0	2	0	0	0	0	2	2	0	0	0	2	0	0	2	0	2	2	2	2	3	0	0	0	4	1	2	0	2	0	0	0	0	2	2	0	2	4	0	3	0
msg_resource	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
trackbacks	6	0	0	0	6	6	2	6	0	8	0	7	5	0	0	4	6	0	6	2	0	2	0	-	0	6	6	6	4	4	4	6	0	0	6	0	6	2	0	4	0	4	0	1	6	2	2	6	6	6	6	0	4	0	3	1	2	0	2	0	4	0	1	6	0	4	6	6	0	6	0
random	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
image	6	2	0	0	7	6	2	6	0	7	0	6	2	0	0	4	6	1	6	0	0	2	0	6	0	-	6	6	4	4	4	8	0	0	4	0	6	2	1	4	0	2	0	0	14	0	2	6	6	6	6	0	4	0	3	2	2	0	2	0	4	0	0	6	2	4	8	6	1	10	0
job	6	0	0	0	6	6	2	6	0	6	0	6	2	0	0	4	6	0	6	0	0	2	0	6	0	6	-	6	4	4	4	6	0	0	4	0	6	2	0	4	0	2	0	0	6	0	2	6	6	6	6	0	4	0	3	1	2	0	2	0	4	0	0	6	0	4	6	6	0	6	0
logging	6	1	0	0	6	6	4	13	0	7	0	9	2	0	0	4	6	0	6	0	0	3	0	6	0	6	6	-	4	4	4	9	0	0	4	0	6	2	1	4	0	4	0	0	6	0	3	6	8	6	8	0	4	0	3	3	2	0	2	0	5	0	0	6	1	4	10	10	0	7	0
log_search	4	0	0	0	4	4	0	4	0	4	0	4	0	0	0	4	4	0	4	0	0	0	0	4	0	4	4	4	-	4	4	4	0	0	4	0	4	0	0	4	0	0	0	0	4	0	0	5	4	4	4	0	4	0	1	0	0	0	0	0	4	0	0	4	0	4	4	4	0	4	0
change_tag	4	0	0	1	4	4	0	4	0	4	0	4	0	0	0	5	4	0	4	0	0	0	0	4	0	4	4	4	4	-	4	4	0	0	4	0	4	0	0	4	0	0	0	0	4	0	0	4	4	4	4	0	4	0	1	0	0	0	0	0	4	0	0	4	0	4	4	4	0	4	0
category	4	0	0	0	4	4	0	4	0	4	0	4	0	0	0	4	4	0	4	0	0	0	0	4	0	4	4	4	4	4	-	4	0	0	4	0	4	0	0	5	0	0	0	0	4	0	0	4	4	4	4	0	4	0	1	0	0	0	0	0	4	0	0	4	0	4	4	4	0	4	0
