	CPG_pictures	CPG_ecards	CPG_hit_stats	CPG_dict	CPG_votes	CPG_languages	CPG_temp_data	CPG_usergroups	CPG_sessions	CPG_filetypes	CPG_banned	CPG_config	CPG_users	CPG_bridge	CPG_temp_messages	CPG_categories	CPG_albums	CPG_categorymap	CPG_comments	CPG_exif	CPG_vote_stats	CPG_favpics	CPG_plugins	
CPG_pictures	-	0	0	0	0	0	0	0	2	2	2	0	4	1	0	1	2	0	1	0	0	1	0
CPG_ecards	0	-	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CPG_hit_stats	0	0	-	0	0	1	0	0	0	0	0	0	0	6	0	1	0	0	0	0	7	0	0
CPG_dict	0	0	0	-	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
CPG_votes	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPG_languages	0	0	1	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CPG_temp_data	0	0	0	0	0	0	-	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CPG_usergroups	0	0	0	0	0	0	3	-	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
CPG_sessions	2	0	0	0	0	0	1	0	-	1	0	0	1	0	0	0	0	0	0	0	0	0	0
CPG_filetypes	2	1	0	0	0	0	0	0	1	-	1	0	5	0	0	1	1	1	0	1	0	0	0
CPG_banned	2	0	0	0	0	0	0	0	0	1	-	0	0	0	0	1	0	0	1	1	0	0	0
CPG_config	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0
CPG_users	4	0	0	2	0	0	1	1	1	5	0	0	-	0	0	0	0	0	0	0	0	2	0
CPG_bridge	1	0	6	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	5	0	0
CPG_temp_messages	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	1	0	0
CPG_categories	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	-	3	1	0	2	0	0	0
CPG_albums	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	-	2	0	0	0	0	2
CPG_categorymap	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	-	0	0	0	0	0
CPG_comments	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-	0	0	0	0
CPG_exif	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	0	-	0	0	0
CPG_vote_stats	0	0	7	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	-	0	0
CPG_favpics	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	-	0
CPG_plugins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	-
